TagNameGroup,TagName,TagType,Writable,G0,G1,G2
APP11,JPEG-HDRVersion,?,false,APP11,JPEG-HDR,Preview
APP12,Aperture,?,false,APP12,PictureInfo,Image
APP12,ColorMode,?,false,APP12,PictureInfo,Image
APP12,ConTake,?,false,APP12,PictureInfo,Image
APP12,ExposureCompensation,?,false,APP12,PictureInfo,Image
APP12,FNumber,?,false,APP12,PictureInfo,Image
APP12,FirmwareVersion,?,false,APP12,PictureInfo,Image
APP12,Flash,?,false,APP12,PictureInfo,Image
APP12,FocusMode,?,false,APP12,PictureInfo,Image
APP12,FocusPos,?,false,APP12,PictureInfo,Image
APP12,ID,?,false,APP12,PictureInfo,Camera
APP12,ImageSize,?,false,APP12,PictureInfo,Camera
APP12,LightS,?,false,APP12,PictureInfo,Camera
APP12,Macro,?,false,APP12,PictureInfo,Camera
APP12,Protect,?,false,APP12,PictureInfo,Camera
APP12,Quality,?,false,APP12,PictureInfo,Camera
APP12,Resolution,?,false,APP12,PictureInfo,Camera
APP12,SerialNumber,?,false,APP12,PictureInfo,Camera
APP12,ExposureTime,?,false,APP12,PictureInfo,Camera
APP12,StrobeTime,?,false,APP12,PictureInfo,Camera
APP12,DateTimeOriginal,?,false,APP12,PictureInfo,Time
APP12,CameraType,?,false,APP12,PictureInfo,Camera
APP12,Version,?,false,APP12,PictureInfo,Camera
APP12,YTarget,?,false,APP12,PictureInfo,Camera
APP12,Zoom,?,false,APP12,PictureInfo,Camera
APP12,ZoomPos,?,false,APP12,PictureInfo,Camera
APP12,ExposureTime,?,false,APP12,PictureInfo,Camera
APP12,YLevel,?,false,APP12,PictureInfo,Camera
APP13,AdobeCMType,int16u,false,APP13,AdobeCM,Image
APP14,Adobe,?,true,APP14,Adobe,Image
APP14,DCTEncodeVersion,int16u,false,APP14,Adobe,Image
APP14,APP14Flags0,int16u,false,APP14,Adobe,Image
APP14,APP14Flags1,int16u,false,APP14,Adobe,Image
APP14,ColorTransform,int8u,false,APP14,Adobe,Image
APP15,Quality,?,false,APP15,GraphConv,Image
APP2,IJPEGVersion,int8u,false,APP2,InfiRay,Image
APP2,IJPEGOrgType,int8u,false,APP2,InfiRay,Image
APP2,IJPEGDispType,int8u,false,APP2,InfiRay,Image
APP2,IJPEGRotate,int8u,false,APP2,InfiRay,Image
APP2,IJPEGMirrorFlip,int8u,false,APP2,InfiRay,Image
APP2,ImageColorSwitchable,int8u,false,APP2,InfiRay,Image
APP2,ThermalColorPalette,int16u,false,APP2,InfiRay,Image
APP2,IRDataSize,int64u,false,APP2,InfiRay,Image
APP2,IRDataFormat,int16u,false,APP2,InfiRay,Image
APP2,IRImageWidth,int16u,false,APP2,InfiRay,Image
APP2,IRImageHeight,int16u,false,APP2,InfiRay,Image
APP2,IRImageBpp,int8u,false,APP2,InfiRay,Image
APP2,TempDataSize,int64u,false,APP2,InfiRay,Image
APP2,TempDataFormat,int16u,false,APP2,InfiRay,Image
APP2,TempImageWidth,int16u,false,APP2,InfiRay,Image
APP2,TempImageHeight,int16u,false,APP2,InfiRay,Image
APP2,TempImageBpp,int8u,false,APP2,InfiRay,Image
APP2,VisibleDataSize,int64u,false,APP2,InfiRay,Image
APP2,VisibleDataFormat,int16u,false,APP2,InfiRay,Image
APP2,VisibleImageWidth,int16u,false,APP2,InfiRay,Image
APP2,VisibleImageHeight,int16u,false,APP2,InfiRay,Image
APP2,VisibleImageBpp,int8u,false,APP2,InfiRay,Image
APP3,HdrLength,int16u,false,APP3,JPS,Image
APP3,JPSSeparation,int32u,false,APP3,JPS,Image
APP3,JPSFlags,int8u,false,APP3,JPS,Image
APP3,JPSLayout,int8u,false,APP3,JPS,Image
APP3,JPSLayout,int8u,false,APP3,JPS,Image
APP3,JPSType,int8u,false,APP3,JPS,Image
APP3,JPSComment,string,false,APP3,JPS,Image
APP3,ThermalData,?,false,APP3,DJI,Image
APP3,ImagingData,?,false,APP3,InfiRay,Image
APP4,K1,float,false,APP4,DJI,Image
APP4,K2,float,false,APP4,DJI,Image
APP4,K3,float,false,APP4,DJI,Image
APP4,K4,float,false,APP4,DJI,Image
APP4,KF,float,false,APP4,DJI,Image
APP4,B1,float,false,APP4,DJI,Image
APP4,B2,float,false,APP4,DJI,Image
APP4,ObjectDistance,int16u,false,APP4,DJI,Image
APP4,RelativeHumidity,int16u,false,APP4,DJI,Image
APP4,Emissivity,int16u,false,APP4,DJI,Image
APP4,Reflection,int16u,false,APP4,DJI,Image
APP4,AmbientTemperature,int16u,false,APP4,DJI,Image
APP4,D2,int32s,false,APP4,DJI,Image
APP4,KJ,int16u,false,APP4,DJI,Image
APP4,DB,int16u,false,APP4,DJI,Image
APP4,KK,int16u,false,APP4,DJI,Image
APP4,AmbientTemperature,float,false,APP4,DJI,Image
APP4,ObjectDistance,float,false,APP4,DJI,Image
APP4,Emissivity,float,false,APP4,DJI,Image
APP4,RelativeHumidity,float,false,APP4,DJI,Image
APP4,ReflectedTemperature,float,false,APP4,DJI,Image
APP4,IDString,string,false,APP4,DJI,Image
APP4,RelativeHumidity,int16u,false,APP4,DJI,Image
APP4,ObjectDistance,int16u,false,APP4,DJI,Image
APP4,Emissivity,int16u,false,APP4,DJI,Image
APP4,ReflectedTemperature,int16u,false,APP4,DJI,Image
APP4,IJPEGTempVersion,int8u,false,APP4,InfiRay,Image
APP4,FactDefEmissivity,int8s,false,APP4,InfiRay,Image
APP4,FactDefTau,int8s,false,APP4,InfiRay,Image
APP4,FactDefTa,int16s,false,APP4,InfiRay,Image
APP4,FactDefTu,int16s,false,APP4,InfiRay,Image
APP4,FactDefDist,int16s,false,APP4,InfiRay,Image
APP4,FactDefA0,int32s,false,APP4,InfiRay,Image
APP4,FactDefB0,int32s,false,APP4,InfiRay,Image
APP4,FactDefA1,int32s,false,APP4,InfiRay,Image
APP4,FactDefB1,int32s,false,APP4,InfiRay,Image
APP4,FactDefP0,int32s,false,APP4,InfiRay,Image
APP4,FactDefP1,int32s,false,APP4,InfiRay,Image
APP4,FactDefP2,int32s,false,APP4,InfiRay,Image
APP4,FactRelSensorTemp,int16s,false,APP4,InfiRay,Image
APP4,FactRelShutterTemp,int16s,false,APP4,InfiRay,Image
APP4,FactRelLensTemp,int16s,false,APP4,InfiRay,Image
APP4,FactStatusGain,int8s,false,APP4,InfiRay,Image
APP4,FactStatusEnvOK,int8s,false,APP4,InfiRay,Image
APP4,FactStatusDistOK,int8s,false,APP4,InfiRay,Image
APP4,FactStatusTempMap,int8s,false,APP4,InfiRay,Image
APP4,PreviewImageHeight,int32s,false,APP4,Scalado,Image
APP4,PreviewQuality,int32s,false,APP4,Scalado,Image
APP4,DataLength,int32s,false,APP4,Scalado,Image
APP4,PreviewImageWidth,int32s,false,APP4,Scalado,Image
APP5,EnvironmentTemp,float,false,APP5,InfiRay,Image
APP5,Distance,float,false,APP5,InfiRay,Image
APP5,Emissivity,float,false,APP5,InfiRay,Image
APP5,Humidity,float,false,APP5,InfiRay,Image
APP5,ReferenceTemp,float,false,APP5,InfiRay,Image
APP5,TempUnit,int8u,false,APP5,InfiRay,Image
